Motorista C,Pista,Motorista P,Celta Motivado,Posição,Celta Ganha?
Toretto,Curva,Massa,pouco,juntos,creio que nao
Toretto,Curva,Massa,muito,juntos,creio que nao
Toretto,Reta,Massa,pouco,celta na frente,claro
Toretto,Reta,Massa,pouco,juntos,creio que nao
Toretto,Reta,Rubinho,pouco,juntos,claro
Toretto,Curva,Rubinho,muito,juntos,claro
Brian Oconner,Curva,Rubinho,muito,juntos,claro
Brian Oconner,Curva,Massa,muito,celta na frente,claro
Brian Oconner,Curva,Massa,pouco,juntos,creio que nao
Brian Oconner,Reta,Massa,pouco,celta na frente,claro
Brian Oconner,Curva,Rubinho,pouco,juntos,creio que nao
Brian Oconner,Reta,Rubinho,muito,juntos,claro
Brian Oconner,Curva,Massa,pouco,juntos,creio que nao
Toretto,Curva,Massa,muito,celta na frente,claro
